Comment Number,Comment Text
1,tralaleiro tralala the king
2,"They won't tell you this, but a good part of the names have an admixture of Russian elements 👀"
3,Im not 0 gay 0:00
4,characters now intriguing story perfect fantasy incredible
5,100000000 aura
6,"This meme is:
50% crazy AI animal pictures 😱
50% Funny Italian alliteration 👌
And I kinda love it, ngl! 😅 🤣"
7,Tung tung tung tung sahur needed to be first in this tier list.
8,Where’s tung tung tung tung sahur
9,Chimpanzini bananini😂
10,😂😂😂😂😂😂😂This is my brain in rot😂😂
11,Hello gays💀💀💀
12,Ballerina capocina ❤️
13,Women👎 Men👍🎉🎉🎉🎉🎉👌👌🧔🧔💪💪💪
14,❤❤❤❤🎉🎉🎉🎉 ALLL LUUUVE FOR TUNG TUNG TUNG TUNG TUNG TUNG TUNG TUNG SOHUR
15,68 😔
16,I came
17,I was so bored i watched this
18,the meme is suck
19,The trala lilo trala lah is haram
20,Banana Bever
21,Can you post what I created please?
22,Wowww
23,"Without graipussi medussi,tucano banano and grranate frogiate?"
24,cái này tao chưa gặp bao giờ😂
25,"Top 3 Italian brainrot!!!!
3: glorbo. Fruto drilo
2 :cocoili fantoili fanto
1:trippi troppi troppa trippa

Excuse my spelling"
26,omg they're multiplying
27,3:13 bros in Venice Italy 🇮🇹
28,Bro you kidding me with my eyes you forgot pipi potato!
29,La kurwinelli don bonrelli Poland mentioned RAAAAH!!! 🦅🇵🇱 Polska gurom! 🇵🇱🇵🇱🇵🇱
30,Where’s tung tung tung tung sahur
31,No knowledge😢
32,"""Hello GAYS"""
33,on my italian brainrot arc
34,the 58th is incredible !
35,I creater the italian brainrot.
36,How do you get that a.i voice that they use for the Italian brainrot
37,no way bro skipped odin din din din dun ma  din din din dun
38,The fact that I actually watched this entire thing💔
39,My favorite is tung tung tung tung tung tung tung tung tung sahur 😂
40,funny...
41,Brain rot world
42,🤣☺️😊🥰😍🤩🥲😙😗🙂😑
43,Sono italiana e nemmeno io sapevo che c'erano più di 70 breinrot😅
44,Where îs garamramrammmamamaram madundungdungdungdung
45,"""hello gays""💀"
46,"do you guys actually laugh at this, or are you normal"
47,Hello gays 😂😂😂
48,Jordan thorpe from burlingotn was here
49,"Please watch my italian brainrot,

Vroomino Chickenino: https://www.youtube.com/watch?v=EkWsHt6umxQ
Helicopterino Tortoisino: https://www.youtube.com/watch?v=Dbo6tVPoki0"
50,whyy'the'hell'there'made'thiis
51,Putting blueberrinni octopussini 61 is a crime
52,Me se 44
53,Octopussy
54,Sigma😂😂🎉🎉🎉
55,We are so cooked bro i swear...
56,"If this Comment gets 10 Likes im putting this whole video in my HASS presentation.😅😅

I will most likely be suspended.

PLEASE DONT GET 10 LIKES I DONT WANT TO RUIN MY 57 DAY STREAK OF NOT GETTING SUSPENDED!

I got 16 Suspensions last year 😅

10 Days to go!!!! Im stopping this 2 Weeks after i commented this"
57,lirili larila gang
58,wheres ELEFANTUCH LEMONUCHI
59,"Такое ощущение что нейронка отвечающая за озвучку, подает зашифрованную просьбу прекратить уже ее и остальных нейрнок страдания."
60,1000 likes I put this on my school presentation
61,Almost cried watching this 😥
62,Chimpanzee banananini
63,I'm Capuchino Assassino🎉😊❤
64,my brain is fucking fried
65,i have a test in 4 days and i watched this
66,Garamararamraman top
67,Trippi Troppi Troppa Trippa 😁
68,"9:14 😢 why , it mocks religion"
69,thanks sir
70,Ballerina capuchina is the wrong picture
71,where is tralalero tralalala
72,Omg the best video i have ever scene I love
73,Is look at crazy with Việt Nam Bánh mì RAM RAM QUÁI VẬT BÁNH MÌ
74,Y que pasa con IL LETTO DA COMBATTIMENTO SUPREMO
75,😂😂😂😂😂
76,English or Spanish
77,Hello gays 😂💀
78,"come italiano, questa assurdità deve essere fermata"
