Comment Number,Comment Text
1,We're so honored that the first ever YouTube video was filmed here!
2,20 yıl önce bu kadar şansımız yok muydu?
3,20 years 🥳
4,😮
5,واو جميل
6,OMG this is the first video on YouTube 😮😮
7,Mohammad saw❤❤❤❤
8,Allah hu akbar❤❤❤❤
9,Asalamualaikum ❤❤❤
10,Who comes in here on 7/4/2025
11,Big  Fan brother ❤
12,2025
13,"Congratulations, this video is from 20 years ago :DD 💕💕"
14,a moment of silence for how far youtube has gone 😔😔😔
15,Komu wyskoczyło na glownej
16,Bro upload videos
17,Who is here in 2025🎉🎉🎉
18,20 year 😱
19,20 yeara
20,❤❤
21,Bonne anniversaire 🎁 pour les 20 ans
22,"1 video and 5,47 million subscribers"
23,Whoa!! 20 years ago thats so old
24,Didn't the thumbnail get changed or something
25,Cool
26,happy 10m likes >_<
27,Leke 👈
28,this video is older than will smith jr
29,So Cool in 2005 And 2025
30,2025 attendance
31,Can you do 20 years later? 😅
32,"Who is watching this in 2025
👇"
33,haahhahahaha😂😂😮😂😮❤😮❤😮🎉😊🎉😊😢😊😢😊😢😅😢
34,You dropped one classic video then dipped. Respect.
35,I'm back
36,Honour of you tube📺
37,Wth was that old thumbnail
38,This video is considered a now as vintage.
39,Anyone here after 20 yrs 😅😅😅 is old than me
40,Wow that's great
41,Hello
42,Happy 20 years me at the zoo
43,20 YEARS AGO?!?!?
44,I am a blad guy😂
45,Saaaahhhhuuuurrrr
46,People whos parents are less then 20 when this vid was made
47,2025 ❤Watch First Time Video On Youtube ❤Miss you jawed Karim
48,Jawed wont like this comment
49,hi
50,Newest comment
51,Sending a message for people from the year 2050. Please reply and like my comment in 2050.
52,Happy20 year on YouTube
53,assalamu alaikum Jawed
54,"🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉.                                           
🎉Happy birthday YouTube 🎉 🎉20 years old 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉"
55,OMG! YOUTUBE TURNED 20 YEARS OLD! IM SO PROUD OF U YOUTUBE!
56,2025
57,:)
58,This is so old older than me
59,"20 YEARS!!
IVE NEVER SEEN THIS UNTIL NOW, CG ON 20YRS!"
60,Mantap🎉
61,"You understand this is the first video, it is already 20 years old"
62,Sono nel video più vecchio di YouTube!!!🎉
63,Who is watching in 2030
64,This video is older than so many people here😂
65,Happy 20 years ! 🎉
66,Hii jawed
67,Is there anything from 2025?
68,Still getting views 😮
69,20 years ago
70,I'm 20 yrs old...
71,Bro you made you tube ❤ thanks
72,Главная Легенда Ютуба с 2005 года 😎
73,This came out out of nowhere man
74,"People that are watching in 2025
👇"
75,Ja też tu coś napisze i zobacze reakcje ludzi za jakiś czas.
76,Who’s here in 2025
77,Hello I'm 2025
78,Rwda
79,"Wed , 6:56pm , 2025 ❤"
80,Once upon a time…
81,Pls heart this comment!
82,日本民いますか？
83,Woah... 20 years.
84,2025
85,if you pinned me that means you're still alive
86,Ads are now longer than the first video.
87,What unc doin now? 🤔
88,I can't believe this that it is 20 years old 😅❤
89,20 YEARS! DAM
90,"OMG, you can be so proud of you 🥰 It is an honored for you right? 🥰"
91,who else is watching after the video turned 20? 😊
92,20 Years old 😧🤯 Ho my God 😮 0:19
93,You should upload new videos
94,20 years 🤯🤯🤯
95,😊
96,Who from 2025?
97,Anyone 2025 😂😂❤
98,"GTA 6 Trailer 2 is out, Hang in there 😭😂"
99,Happy 20 year youtube
100,Plz upload video😢
101,Bros a legend
102,Omg 😲 he got 17M likes
103,20 years ❤
104,My ez 20 years and video 20 years old 😂🎉
105,20 years old.
106,그래서 쿠빈 어딨음?
107,"One vedio 🤏
5.46M subscribers 🗿
360M views 🗿"
108,"yooo youre alive,for a 3 year i thought you were dead idk why"
109,If you make our veideo then one your name will be seen all over youtube
110,Why you don't upload the video 😢 please reply ❤
111,My 20 old and l like the video and good video and why did you not do any more videos I think you should!? And when is it your birthday and how old you in video Vs new!?
112,Where it all started! <3
113,"Man, a video on YT with ""20 years ago""!   Happy Bday YT!🤣👍🏻"
114,Happy 20 years on YouTube 🎉
115,I'll come in the future when YouTube and this video turn 30.
116,We filmed this first YouTube video
117,Very emotional video 😢😢
118,After 20 years ago
119,Welcome jawad
120,Hey jawed
121,You are top youtuber
122,I love this video
123,In 2025
124,Happy please support
125,Hi
126,Finally the first peace video was made on Youtube which we found and it was great to see 0:19
127,"É meus amigos, já tem 20 anos já😧"
128,I’m korean
129,20 years eh.
130,2025
131,Lol
132,Now he is an grown moved on
133,Wse ap abi zinda ho.....20 saaal 😂.
134,ایرانییی
135,20 years ago I was 14!!!!
136,"1 vedio 🙂
5.46M subscribers 💀
360M views 💀"
137,We're so honred that the first ever YouTube video was filmed here!
138,"I was born on 2006 
But 
This vedio made in 2005 💀💀"
139,"20 year's old        🔥
👁️   👁️
    👄"
140,"Hey jawed sir 🗿
Reply plz 💀"
141,Love you all
142,20 year's old 💀🔥
143,Anyone 2025 💀🔥
144,20 years…..
145,Bro can you applaud anather vid pls🙏
146,This got Reccomend for me after 20 years cant wait until my grand grand grand grand children see this
147,Happy 20 Years
148,20 years ago FR i still cant believe it
149,J😊j
150,First video of youtube so proud!
151,“20 years ago…” jeez man. this is an artifact 😭
152,VEINTE AÑOS?!?!
153,Pretty crazy that this video is already 20 years old
154,❤
155,Fast Blogs
156,hi
157,Wow
158,You Forgot Youtube
159,"Youtube deleted its description that said it disagreed with the removal of the ""DISLIKE"" button."
160,"I know later in life someone will be reading this in 2027 
It’s 2025 and I’m chilling I wonder what UrE doing in 2027"
161,Will you ever upload agian
162,Hi Legend ❤
163,This brings back memories 😢 but every thing has to move on at some point 😢
164,"Seeimg""20 yars ago"" on a yutube video makas me feel a certain type of way"
165,Any one 2025😂😂
166,Watching after 20 years 😮😮❤
167,私たちの最初の YouTube ビデオを公開できたことを光栄に思います。 🎉
168,First!
169,Hello yellow
170,Start of a legendary platform 🔥🔥🔥
171,YouTube first video is here Wich means the boss is here
172,You are looking very handsome
173,Wow
174,Where is second video?
175,Happy 20 years of YouTube 🎉
176,2026 yr 😄،
177,Kon kon 2025 me ye video dekh rahe ho 😂😂
178,"20 years ago, we can all agree youtube is a time machine!"
179,20 years makes me feel old
180,I think my mum was not even born when this video was filmed....😭
181,YouTube
182,So Cool!!!
183,No Hay Simetría 😠
184,Primer video de YouTube
185,Why is this on my fyp 😅
186,Parabéns ao YouTube. A maior revolução cultural de todas.
187,El primer video de YouTube
188,"Okay so, this is where whole story began."
189,decearia encontrar mi comentario del 2017
190,Happy 20 years of Youtube ❤❤❤
191,20 yrs
192,I swear if said 15 years ago like yesterday… now it’s 20 years ago 😭 time flies even though I’m still young
193,Big fan
194,20 years?
195,"ELePHanT ANIMAL
InTroDuCE SelF

캘리포니아 You TUBE CEO THank's YOU!"
196,ㄱㅇㅎ 왔다가 가용 영상 잘봤어요
197,20 years later
198,I don't think it's 20 years and not aging baadly
199,আমার মতো কার কার ইউটিউবার হওয়ার সপ্ন আছে🙋‍♂️🙋‍♂️ হাও তুলেন🎉🎉🎉
200,🙂
201,Po pi kafen ke palma dhe petriti hyri ne kafe me buzqeshi dhe me tha a do e rrezojm apo jo e kishte per edi ramen besoj
202,Happy 20 year anniversary on youtube jawd 🎉🎉🎉🎉🎉🎉🎉
203,Someone from the planet Mars greetings from the year 3050
204,who is 2025😂😂
205,Me at the zoo
206,Hi ❤
207,Anyone 2025?
208,Ye jawed 🎉😊
209,0:19
210,Belum lahir lagi 24 April 2005😂
211,ها شلونك هههههههه
212,Cool zoo
213,Hello people! I can’t believe YouTube has been out for a Big 20 Years!
214,Bro plz heart me❤❤
215,Bro plz heart me❤❤
216,I was 2 when this came out... I miss old youtube man
217,"This was one of my grandma's favorite videos. We played it at her funeral after she was mauled to death by a grizzly bear. The whole family was camping when it happened. At just 9 years of age, I wasn't very fast, but I was faster than her that day. Rest in peace Nana."
218,20 лет
219,Holaaaaa
220,How to have so many likes like 20 years ago
221,3billon views💀💀💀💀
222,سلام ایرانی هستی؟🇮🇷
223,"Se scoprirete che sono io, perfavore perdonate quello che ho scritto nel corso di questi anni. Sicuramente molto spesso avrò sbagliato, non dateci troppo peso. A volte sono stato in periodi confusi. Mi dispiace, prometto di essere migliore d'ora in poi"
224,Братан если ты будешь дальше снимать  видео то у тебя будет 1эмл ❤люблю тебя
225,Я с 2025
226,Still this video can't stop increasing of viewers
227,I feel the sands of time pouring off me.
228,"Dude, I literally felt physical, psychological, esoteric and other words ending in -ical pain in my back at the same time."
229,2 minutes ago this video had 359 million views now it has 360 million views!!!!
230,360 MILLION VIEWS!
231,👽🥷
232,2025🎉🎉🎉
233,Más reciente
234,Highest level
235,Highest level grand IlligAlwaR for
236,Highest level grand IlligAlwaR for
237,Highest level grand IlligAlwaR for
238,"When i was younger i always thought what if one day some of video on Youtube turn to 20 years old, and that one day become this day"
239,Dejo mi marca mano
240,It's incredible to see how the first YouTube video has been around for years over time. 😮
241,Hidden dragon Ball
242,Hidden dragon Ball
243,Gate control
244,Cory
245,Happy 20 years Of You Tube!
246,Fun fact: no one gives a shit about what year it is (the “who is here in ___” comments) just watch the damn video.
247,Bro what's your age now and how do you look we really wanted to see please if you read this comment make a video about yourself ❤
248,Wowo
249,The gate keeper
250,Jeremy kane
251,Henry ford
252,Franco
253,Kane
254,Kane
255,Apache
256,Xhopper
257,Apachie
258,Hig🎉
259,Hidden level grand IlligAlwaR
260,🎉🎉🎉❤❤😊😊😊😊
261,"This guy is STILL liking comments from 20 years later, what a legend. 👑👑"
262,CONGRATULATIONS FOR jawed .....your 20 years journey  Take love bro❤
263,first
264,bruh
265,Hola
266,Happy 20 yt
267,20 YEARS
268,wow 20 year man i remember it at 10 years old
269,Wey este video me aparecio normal ni lo busque😮 ‽que probabilidad hay de que pase eso?
270,Alguien de 2025
271,Ya pasaron 20 años🎉
272,"This is the 10,499,318th comment"
273,Aquí los puntuales
274,Happy 20 Years Jawed
275,"""I want to reach 1 million on YouTube."""
276,What are you think about MrBeast?
277,"I may be late but happy 20 years on youtube, what a time to be alive"
278,20 years of Youtube ❤
279,"Deberiamos funarlo junto con los mrs Gringos de su época :u xdxd
Como de infla venas eran :^"
280,Wait how did you get 5 million subscribers with one video????
281,Someone from 2025
282,Esto sera historia en 2100
283,😂
284,07/06/2025
285,Hey Jawed please please pleaseeee make more videos
286,20 years is a lot
287,"@jawed
Congrats on this video being 20 year old!"
288,WHY 20????
289,20 лет Ютюбу!
290,The video that started it all...
291,আপনি বাংলাদেশের জন্য গর্ব
292,eyaf
293,Nice bro ❤❤❤❤
294,The real legend of Youtube
295,20 years... wow
296,Happy birthday video
297,"Hey friends, the man is still alive, liking and replying to comments. This is crazy. 😂"
298,First YouTube video means a huge change on this platform!
299,Happy Anniversary YouTube! 🥳🎉👏🎊
300,"For another 20 years, cheer 🥰"
301,the 1st video uploaded on youtube. wow! been 20 yrs already. cheers!
302,Thanks jawed for your creativity.
303,"""It's been 20 years"" - 🧓"
304,Glad to see you’re still around Jawed despite uploading only one video
305,YOUTUBE 20TH ANNIVERSARY🎉!!!!!
306,Happy 20 Years 🎉😊 classic video
307,First vid ever
308,Happy 20th Years 🎉
309,Hi
310,20 años desde este video
311,❤😂
312,It's been 20 years? Damn
313,is now 20 years
314,the first video of youtube
315,Video upload please ❤❤
316,First vid on YouTube GG! Anyone still here in May 2025?
317,❤😮
318,Just got an ad for this
319,Muchos años no amigos YouTube es algo grande ahora no como 2005
320,This is the first YouTube video ever W and so nostalgic post more jawed please
321,"20 years Youtube, thanks❤"
322,Qui es la en 2025 ?
323,Alguien 2025
324,"""20 years ago""...really makes you think...wow."
325,CONGRATS BEING THE FIRST YOUTUBER
326,اول مقطع😅
327,Omg
328,Thanks for everything this will be remembered as YouTube’s first video ever for a really long time
329,we love the zoo!
330,"literally came here just to see it say ""20 years ago"" , wow man"
331,Dang seeing this wow
332,يمثلني
333,20 years is crazy
334,Heart this comment if you like your jacket
335,Feliz 20 años
336,Omg he is still active on this channel
337,Mate
338,Good morning
339,2025🎉
340,"20th year anniversary of where it all began.
Where YOU was in the name of youtube."
341,The fact he only has 1 video and playlist on his channel and still gets 100s of millions of views and millions of subscribers
342,I'm first 2025
343,"yooo, you're the first youtuber ever! how do you feel? 2 decades since this video was made and others followed."
344,Seeing this 0:13 makes Me happy idk why 😅
345,"Jawed Karim,   Your  Video Clip  = 359 Million  Views  ...I'm  SO  Impressed   !!!  Congrats   ....."
346,20 years ago wow
347,Also   GREAT  CONGRATS  To   The  VERY   FIRST   Video   Clip  on  YOUTube   Posted  Online   20   YEARs   AGO  !!!🥇🎉l💥🔥🎉🎉🎉🎁🎁🖥🖥🤟👍❤........Pete .
348,20 years dang bro
349,"Dang, 20 years is crazy, makes me feel like an unc"
350,❤❤
351,Hi
352,hey i love u
353,Hi jawed😅
354,XD
355,"Please brother, make a ""20 Years Later"" remake, it'll bring the whole Internet down!!!"
356,Happy birthday to YouTube
357,LOVE ISRAËL 🇮🇱
358,I can’t believe this thing was 20 years old. It’s older than me and I was born in November of that year.
359,20 years?!! I want to see how many people are shocked here
360,Are u still at zoo?
361,YouTubeを作ってくれてありがとう
362,This is actually the first video on YouTube
363,Hey dude how about you post another video cause you only have one 😢
364,thanks YT!!
365,wow
366,Thanks I have it
367,Hollow knight
368,"20 year anniversary
We can buy the zoo now!"
369,"Wow, you are literally the owner of the oldest youtube channel on youtube, Congrats on having your channel (and this video) become 20 years old!"
370,I am only a few months younger than this video
